"","ver","ID_rev","file","folder_names","folder_owner","members","new_owner"
"3447","3",34582,"1.5.2","applications/guardian/src/com/carel/supervisor/guardian","chiara.moretti",FALSE,"chiara.moretti"
"3448","3",34583,"1.5.2","applications/guardian/src/com/carel/supervisor/guardian/feedback/channels","chiara.moretti",FALSE,"chiara.moretti"
"3449","3",34584,"1.5.2","applications/guardian/src/com/carel/supervisor/guardian/helper","chiara.moretti",FALSE,"chiara.moretti"
"3451","3",35452,"1.5.2","PlantVisorPRO/src/com/carel/supervisor/ide/dc/DbModel","alberto.baldan",FALSE,"alberto.baldan"
"3466","3",35602,"1.5.2","PlantVisorPRO/src/com/carel/supervisor/ide/dc/xmlDAO","alberto.baldan",FALSE,"alberto.baldan"
"3835","3",38813,"1.5.2","c_source/ModbusSlaveExtension/MBSlaveEx","chiara.moretti",FALSE,"chiara.moretti"
"3836","3",38814,"1.5.2","c_source/ModbusSlaveExtension/MbAppLayer","chiara.moretti",FALSE,"chiara.moretti"
"3865","3",38960,"1.5.2","c_source/pvproshell/PVShell2","andrea.rana",FALSE,"andrea.rana"
"4080","3",51795,"1.5.2","PlantVisorPRO/src/com/carel/supervisor/controller/pagelinks","alessandro.basso",FALSE,"alessandro.basso"
"4112","3",51882,"1.5.2","PlantVisorPRO/src/com/carel/supervisor/presentation/alarmsevents","alessandro.basso",FALSE,"alessandro.basso"
"4308","3",54344,"1.5.2","applications/guardian/src/com/carel/supervisor/guardian/conf","chiara.moretti",FALSE,"chiara.moretti"
"4372","4",54973,"1.5.3","PlantVisorPRO/src/com/carel/supervisor/presentation/bean","fabio.boldrin",FALSE,"fabio.boldrin"
"4373","4",54974,"1.5.3","PlantVisorPRO/src/com/carel/supervisor/presentation/devices","fabio.boldrin",FALSE,"fabio.boldrin"
"4382","4",54983,"1.5.3","PlantVisorPRO/src/com/carel/supervisor/presentation/graph","fabio.boldrin",FALSE,"fabio.boldrin"
"4383","4",54984,"1.5.3","PlantVisorPRO/src/com/carel/supervisor/presentation/tabmenu","fabio.boldrin",FALSE,"fabio.boldrin"
"4384","4",54985,"1.5.3","PlantVisorPRO/src/com/carel/supervisor/presentation/widgets/table/htmlcreate/element","fabio.boldrin",FALSE,"fabio.boldrin"
"4385","4",55081,"1.5.3","PlantVisorPRO/src/com/carel/supervisor/presentation/bo","fabio.boldrin",FALSE,"fabio.boldrin"
"4386","4",55082,"1.5.3","PlantVisorPRO/src/com/carel/supervisor/presentation/copydevice","fabio.boldrin",FALSE,"fabio.boldrin"
"4391","4",55174,"1.5.3","PlantVisorPRO/src/com/carel/supervisor/dataaccess/datalog/impl","fabio.boldrin",FALSE,"fabio.boldrin"
"4397","4",55227,"1.5.3","PlantVisorPRO/src/com/carel/supervisor/presentation/menu","fabio.boldrin",FALSE,"fabio.boldrin"
"4398","4",55228,"1.5.3","PlantVisorPRO/src/com/carel/supervisor/presentation/session","fabio.boldrin",FALSE,"fabio.boldrin"
"4399","4",55234,"1.5.3","PlantVisorPRO/src/com/carel/supervisor/presentation/bean/rule","fabio.boldrin",FALSE,"fabio.boldrin"
"4400","4",55278,"1.5.3","PlantVisorPRO/src/com/carel/supervisor/director","fabio.boldrin",FALSE,"fabio.boldrin"
