"","sender_id","receiver_name"
"1","chiara.moretti",8721
"2","chiara.moretti",36927
"3","chiara.moretti",58806
"4","chiara.moretti",122539
"5","chiara.moretti",129404
"6",NA,22262
"7",NA,38712
"8",NA,41423
"9",NA,64872
"10",NA,64983
"11",NA,76637
"12",NA,107463
"13",NA,122262
"14",NA,126295
"15",NA,5431
"16",NA,101466
"17",NA,111745
"18","alessandro.basso",15879
"19","alessandro.basso",16407
"20","alessandro.basso",36927
"21","alessandro.basso",38728
"22","alessandro.basso",38899
"23","alessandro.basso",39368
"24","alessandro.basso",41894
"25","alessandro.basso",54997
"26","alessandro.basso",56825
"27","alessandro.basso",57888
"28","alessandro.basso",70539
"29","alessandro.basso",74737
"30","alessandro.basso",83024
"31","alessandro.basso",96729
"32","alessandro.basso",99112
"33","alessandro.basso",103498
"34","alessandro.basso",114138
"35","alessandro.basso",115437
"36","alessandro.basso",117652
"37","alessandro.basso",118268
"38","alessandro.basso",122539
"39","alessandro.basso",130069
"40",NA,12070
"41",NA,26000
"42",NA,56042
"43",NA,76692
"44",NA,7409
"45",NA,14907
"46",NA,15330
"47",NA,27095
"48",NA,29068
"49",NA,36927
"50",NA,39906
"51",NA,43748
"52",NA,45250
"53",NA,53469
"54",NA,57464
"55",NA,58806
"56",NA,70292
"57",NA,70539
"58",NA,96729
"59",NA,122539
"60",NA,122744
"61",NA,125883
"62",NA,39739
"63",NA,7409
"64",NA,15330
"65",NA,27994
"66",NA,43748
"67",NA,58806
"68",NA,98576
"69",NA,115437
"70",NA,807
"71",NA,809
"72",NA,825
"73",NA,848
"74",NA,2088
"75",NA,2667
"76",NA,65031
"77",NA,80110
"78",NA,102041
"79",NA,106455
"80",NA,806
"81",NA,848
"82",NA,2088
"83",NA,52658
"84",NA,116688
"85",NA,860
"86",NA,16109
"87",NA,16649
"88",NA,20833
"89",NA,36002
"90",NA,48213
"91",NA,68850
"92",NA,93918
"93",NA,18945
"94",NA,48213
"95",NA,45409
"96",NA,51719
"97",NA,76900
"98",NA,20329
"99",NA,60336
"100",NA,70867
"101",NA,121028
"102",NA,39368
"103",NA,52616
"104",NA,100829
"105",NA,7512
"106",NA,46643
"107",NA,54997
"108",NA,70539
"109",NA,90068
"110",NA,96729
"111",NA,107035
"112",NA,118268
"113",NA,120013
"114",NA,122539
"115",NA,130802
"116",NA,26028
"117",NA,28059
"118",NA,63182
"119",NA,91813
"120",NA,93293
"121",NA,95916
"122",NA,103548
"123",NA,133996
"124",NA,7409
"125",NA,15330
"126",NA,43425
"127",NA,43748
"128",NA,58806
"129",NA,70539
"130",NA,96729
"131",NA,130196
