author,Filename,action,Date,Time,ver,ID_File_und,Language,Extension,LOC,SLOC,CommmentRatio,MaxCyclomatic,CyclomaticType,FI,FO,VFI,VFO,FT,VFT,CyclicGroupSize,ArchType,crs_mdl_out,crs_mdl_in,partition,NetworkID,NetworkGroupSize,CyclicGroupID,modularity_out,modularity_in,modularity,crs_mdl_T_out,crs_mdl_T_in,modularity_T_out,modularity_T_in,modularity_T,hierarchy2,hierarchy1,ID_rev,filename
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/Assistance.java,A,2008-08-27,16:46:46,1,90196,Java File,java,87,73,.07,3,Low,1,3,1,194,2,193,0,Control,1,0,3,1,2402,0,.66666669,1,.75,174,0,.10309278,1,.10769231,1,1,5022,applications/WebSupervisor/src/supervisor/Assistance.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/Communicator.java,A,2008-08-27,16:46:46,1,,Java File,java,67,54,.02,2,Low,1,1,1,1,0,0,0,Unconnected,,,,195,1,0,,,,,,,,,1,1,5023,applications/WebSupervisor/src/supervisor/Communicator.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/Error.java,A,2008-08-27,16:46:46,1,101441,Java File,java,82,66,.06,5,Low,1,7,1,470,6,469,0,Control,3,0,3,1,2402,0,.5714286,1,.625,388,0,.17446809,1,.1762208,1,1,5024,applications/WebSupervisor/src/supervisor/Error.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/Graph.java,A,2008-08-27,16:46:46,1,45984,Java File,java,75,56,.18,1,Low,1,2,1,423,1,422,0,Control,0,0,3,1,2402,0,1,1,1,355,0,.1607565,1,.16273585,1,1,5025,applications/WebSupervisor/src/supervisor/Graph.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/Login.java,A,2008-08-27,16:46:46,1,62169,Java File,java,286,235,.02,10,Low,1,26,1,451,25,450,0,Control,16,0,3,1,2402,0,.38461539,1,.4074074,380,0,.15742794,1,.15929204,1,1,5026,applications/WebSupervisor/src/supervisor/Login.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/Logout.java,A,2008-08-27,16:46:46,1,63537,Java File,java,65,49,.06,3,Low,1,5,1,423,4,422,0,Control,1,0,3,1,2402,0,.80000001,1,.83333331,355,0,.1607565,1,.16273585,1,1,5027,applications/WebSupervisor/src/supervisor/Logout.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/MapsRefresh.java,A,2008-08-27,16:46:46,1,25687,Java File,java,79,62,.08,1,Low,1,4,1,424,3,423,0,Control,2,0,6,1,2402,0,.5,1,.60000002,349,0,.1768868,1,.17882353,1,1,5028,applications/WebSupervisor/src/supervisor/MapsRefresh.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/Master.java,A,2008-08-27,16:46:46,1,65768,Java File,java,505,399,.07,40,High,6,16,6,465,20,469,0,Control,6,0,3,1,2402,0,.625,1,.72727275,384,0,.17419355,1,.18471338,1,1,5029,applications/WebSupervisor/src/supervisor/Master.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/MasterGraph.java,A,2008-08-27,16:46:46,1,6614,Java File,java,83,70,.03,4,Low,1,5,1,441,4,440,0,Control,3,0,20,1,2402,0,.40000001,1,.5,431,0,.022675738,1,.024886878,1,1,5030,applications/WebSupervisor/src/supervisor/MasterGraph.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/MasterXML.java,A,2008-08-27,16:46:46,1,106767,Java File,java,66,58,0,5,Low,1,5,1,305,4,304,0,Control,2,0,4,1,2402,0,.60000002,1,.66666669,269,0,.11803278,1,.12091503,1,1,5031,applications/WebSupervisor/src/supervisor/MasterXML.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/PVStarter.java,A,2008-08-27,16:46:46,1,76507,Java File,java,136,113,.04,13,Medium,1,12,1,361,11,360,0,Control,7,0,3,1,2402,0,.41666666,1,.46153846,319,0,.11634349,1,.11878453,1,1,5032,applications/WebSupervisor/src/supervisor/PVStarter.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/Refresh.java,A,2008-08-27,16:46:46,1,81030,Java File,java,160,125,0,6,Low,1,10,1,424,9,423,0,Control,2,0,3,1,2402,0,.80000001,1,.81818181,355,0,.16273585,1,.16470589,1,1,5033,applications/WebSupervisor/src/supervisor/Refresh.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/SRVLDataTransfer.java,A,2008-08-27,16:46:46,1,111763,Java File,java,301,279,.03,29,High,2,6,2,122,6,122,0,Peripheral,3,0,16,1,2402,0,.5,1,.625,114,0,.065573767,1,.080645159,1,1,5034,applications/WebSupervisor/src/supervisor/SRVLDataTransfer.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/SRVLDispdoc.java,A,2008-08-27,16:46:46,1,52524,Java File,java,169,145,.01,7,Low,1,7,1,466,6,465,0,Control,3,0,3,1,2402,0,.5714286,1,.625,384,0,.17596567,1,.17773019,1,1,5035,applications/WebSupervisor/src/supervisor/SRVLDispdoc.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/SRVLDocument.java,A,2008-08-27,16:46:46,1,,Java File,java,62,53,0,6,Low,1,1,1,1,0,0,0,Unconnected,,,,196,1,0,,,,,,,,,1,1,5036,applications/WebSupervisor/src/supervisor/SRVLDocument.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/SRVLRefresh.java,A,2008-08-27,16:46:46,1,105756,Java File,java,400,339,.03,16,Medium,1,26,1,441,25,440,0,Control,8,0,3,1,2402,0,.69230771,1,.7037037,361,0,.1814059,1,.18325792,1,1,5037,applications/WebSupervisor/src/supervisor/SRVLRefresh.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/SRVLRemote.java,A,2008-08-27,16:46:46,1,77301,Java File,java,383,326,.03,15,Medium,2,18,2,457,18,457,0,Control,11,0,13,1,2402,0,.3888889,1,.44999999,434,0,.050328229,1,.054466233,1,1,5038,applications/WebSupervisor/src/supervisor/SRVLRemote.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/SRVLSdk.java,A,2008-08-27,16:46:46,1,54547,Java File,java,153,135,.04,19,Medium,1,14,1,428,13,427,0,Control,3,0,3,1,2402,0,.78571427,1,.80000001,355,0,.17056075,1,.17249417,1,1,5039,applications/WebSupervisor/src/supervisor/SRVLSdk.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/ServDownload.java,A,2008-08-27,16:46:46,1,32700,Java File,java,266,175,.23,32,High,1,14,1,460,13,459,0,Control,5,0,3,1,2402,0,.64285713,1,.66666669,388,0,.15652174,1,.15835141,1,1,5040,applications/WebSupervisor/src/supervisor/ServDownload.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/ServOnlyDownload.java,A,2008-08-27,16:46:46,1,38588,Java File,java,88,65,.05,9,Low,1,5,1,423,4,422,0,Control,2,0,3,1,2402,0,.60000002,1,.66666669,355,0,.1607565,1,.16273585,1,1,5041,applications/WebSupervisor/src/supervisor/ServOnlyDownload.java
chiara.moretti,/src/trunk/trunk/developments/applications/WebSupervisor/src/supervisor/ServUpload.java,A,2008-08-27,16:46:46,1,91133,Java File,java,679,504,.13,46,High,2,26,2,496,26,496,0,Control,14,0,3,1,2402,0,.46153846,1,.5,419,0,.15524194,1,.15863454,1,1,5042,applications/WebSupervisor/src/supervisor/ServUpload.java
