author,Filename,action,Date,Time,ver,ID_File_und,Language,Extension,LOC,SLOC,CommmentRatio,MaxCyclomatic,CyclomaticType,FI,FO,VFI,VFO,FT,VFT,CyclicGroupSize,ArchType,crs_mdl_out,crs_mdl_in,partition,NetworkID,NetworkGroupSize,CyclicGroupID,modularity_out,modularity_in,modularity,crs_mdl_T_out,crs_mdl_T_in,modularity_T_out,modularity_T_in,modularity_T,hierarchy2,hierarchy1,ID_rev,filename
nicola.compagno,/branches/pvpro_bf_1.4/src/developments/PlantVisorPRO/src/com/carel/supervisor/dispatcher/action/DAction.java,M,2009-03-18,16:17:13,3,77958,Java File,java,204,168,.01,17,Medium,2,14,2,155,14,155,0,Control,2,0,7,1,2403,0,.85714287,1,.875,90,0,.41935483,1,.42675158,1,1,18904,PlantVisorPRO/src/com/carel/supervisor/dispatcher/action/DAction.java
nicola.compagno,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/dispatcher/action/DAction.java,M,2009-03-18,16:30:36,3,77958,Java File,java,204,168,.01,17,Medium,2,14,2,155,14,155,0,Control,2,0,7,1,2403,0,.85714287,1,.875,90,0,.41935483,1,.42675158,1,1,18907,PlantVisorPRO/src/com/carel/supervisor/dispatcher/action/DAction.java
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/alarms/Alarm.java,M,2009-03-19,04:29:28,3,41238,Java File,java,277,198,.21,2,Low,1,4,1,85,3,84,0,Peripheral,1,0,6,1,2403,0,.75,1,.80000001,78,0,.082352944,1,.093023255,1,1,18908,PlantVisorPRO/src/com/carel/supervisor/presentation/alarms/Alarm.java
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/alarms/AlarmList.java,M,2009-03-19,06:15:38,3,73793,Java File,java,882,709,.01,16,Medium,1,23,1,290,22,289,0,Control,7,0,6,1,2403,0,.69565219,1,.70833331,226,0,.22068965,1,.22336769,1,1,18909,PlantVisorPRO/src/com/carel/supervisor/presentation/alarms/AlarmList.java
simon.zhang,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/alarms/AlarmList.java,M,2009-03-20,02:00:14,3,73793,Java File,java,882,709,.01,16,Medium,1,23,1,290,22,289,0,Control,7,0,6,1,2403,0,.69565219,1,.70833331,226,0,.22068965,1,.22336769,1,1,18923,PlantVisorPRO/src/com/carel/supervisor/presentation/alarms/AlarmList.java
nicola.compagno,/branches/pvpro_bf_1.4/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/report/ReportBeanHelper.java,M,2009-03-23,09:28:36,3,83,Java File,java,153,119,.09,9,Low,1,9,1,303,8,302,0,Control,4,0,7,1,2403,0,.55555558,1,.60000002,235,0,.22442244,1,.22697368,1,1,18927,PlantVisorPRO/src/com/carel/supervisor/presentation/report/ReportBeanHelper.java
nicola.compagno,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/report/ReportBeanHelper.java,M,2009-03-23,09:52:13,3,83,Java File,java,153,119,.09,9,Low,1,9,1,303,8,302,0,Control,4,0,7,1,2403,0,.55555558,1,.60000002,235,0,.22442244,1,.22697368,1,1,18929,PlantVisorPRO/src/com/carel/supervisor/presentation/report/ReportBeanHelper.java
nicola.compagno,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/action/ActionLog.java,M,2009-03-30,10:06:55,3,46888,Java File,java,76,64,.11,2,Low,1,9,1,141,8,140,0,Peripheral,4,0,2,1,2403,0,.55555558,1,.60000002,122,0,.13475177,1,.14084508,1,1,18931,PlantVisorPRO/src/com/carel/supervisor/action/ActionLog.java
fabio.boldrin,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/dataaccess/event/VariableHelper.java,M,2009-04-02,08:15:39,3,50483,Java File,java,124,103,0,7,Low,1,9,1,52,8,51,0,Peripheral,2,0,5,1,2403,0,.77777779,1,.80000001,36,0,.30769232,1,.32075471,1,1,19089,PlantVisorPRO/src/com/carel/supervisor/dataaccess/event/VariableHelper.java
fabio.boldrin,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/director/ide/RuleImporter.java,M,2009-04-02,08:16:43,3,24492,Java File,java,542,436,.07,12,Medium,1,11,1,59,10,58,0,Peripheral,1,0,5,1,2403,0,.90909094,1,.91666669,37,0,.37288135,1,.38333333,1,1,19090,PlantVisorPRO/src/com/carel/supervisor/director/ide/RuleImporter.java
fabio.boldrin,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/director/lightnight/LightNightMgr.java,M,2009-04-02,08:17:36,3,17430,Java File,java,345,307,.02,14,Medium,1,12,1,214,11,213,0,Control,8,0,5,1,2403,0,.33333334,1,.38461539,168,0,.21495327,1,.21860465,1,1,19091,PlantVisorPRO/src/com/carel/supervisor/director/lightnight/LightNightMgr.java
fabio.boldrin,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/base/printer/PrinterMgr.java,D,2009-04-02,08:18:14,3,98716,Java File,java,567,472,.06,26,High,2,18,107,91,18,196,0,Peripheral,6,0,0,1,2403,0,.66666669,1,.69999999,46,97,.49450549,.093457945,.27777779,1,1,19092,PlantVisorPRO/src/com/carel/supervisor/base/printer/PrinterMgr.java
fabio.boldrin,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/base/printer/template/IFactoryTemplate.java,D,2009-04-02,08:18:14,3,20835,Java File,java,12,9,0,1,Low,1,4,1,8,3,7,0,Peripheral,0,0,0,1,2403,0,1,1,1,0,0,1,1,1,1,1,19093,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/IFactoryTemplate.java
