author,Filename,action,Date,Time,ver,ID_File_und,Language,Extension,LOC,SLOC,CommmentRatio,MaxCyclomatic,CyclomaticType,FI,FO,VFI,VFO,FT,VFT,CyclicGroupSize,ArchType,crs_mdl_out,crs_mdl_in,partition,NetworkID,NetworkGroupSize,CyclicGroupID,modularity_out,modularity_in,modularity,crs_mdl_T_out,crs_mdl_T_in,modularity_T_out,modularity_T_in,modularity_T,hierarchy2,hierarchy1,ID_rev,filename
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/report/HistoryReport.java,M,2010-11-05,15:57:20,7,27397,Java File,java,393,341,.09,15,Medium,2,16,2,140,16,140,0,Peripheral,8,1,15,1,2610,0,.5,.5,.5,129,1,.078571431,.5,.084507041,1,1,74049,PlantVisorPRO/src/com/carel/supervisor/report/HistoryReport.java
nicola.compagno,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/parameters/ParametersMgr.java,M,2010-11-05,16:01:20,7,124,Java File,java,427,314,.14,11,Medium,14,24,21,302,36,321,6,Peripheral,17,4,7,1,2610,9,.29166666,.71428573,.44736841,238,6,.21192053,.71428573,.24458204,.77777779,.96884733,74050,PlantVisorPRO/src/com/carel/supervisor/plugin/parameters/ParametersMgr.java
nicola.compagno,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/parameters/ParametersThread.java,M,2010-11-05,16:01:20,7,136361,Java File,java,176,112,.31,16,Medium,2,13,21,302,13,321,6,Peripheral,9,0,7,1,2610,9,.30769232,1,.40000001,238,6,.21192053,.71428573,.24458204,.77777779,.96884733,74051,PlantVisorPRO/src/com/carel/supervisor/plugin/parameters/ParametersThread.java
nicola.compagno,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/parameters/dataaccess/ParametersNotificationList.java,M,2010-11-05,16:01:20,7,9641,Java File,java,246,185,.05,12,Medium,2,11,2,306,11,306,0,Peripheral,7,0,7,1,2610,0,.36363637,1,.46153846,238,0,.22222222,1,.22727273,1,1,74052,PlantVisorPRO/src/com/carel/supervisor/plugin/parameters/dataaccess/ParametersNotificationList.java
nicola.compagno,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/bo/BParameters.java,M,2010-11-05,16:01:20,7,140610,Java File,java,479,396,.05,27,High,1,26,1,312,25,311,0,Peripheral,11,0,7,1,2610,0,.57692307,1,.5925926,240,0,.23076923,1,.23322684,1,1,74053,PlantVisorPRO/src/com/carel/supervisor/presentation/bo/BParameters.java
razvan.filimon,/branches/pvpro1.x/src/developments/PlantVisorPRO/src/com/carel/supervisor/report/HistoryReport.java,M,2010-11-08,07:09:53,7,27397,Java File,java,393,341,.09,15,Medium,2,16,2,140,16,140,0,Peripheral,8,1,15,1,2610,0,.5,.5,.5,129,1,.078571431,.5,.084507041,1,1,74054,PlantVisorPRO/src/com/carel/supervisor/report/HistoryReport.java
nicola.compagno,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/parameters/dataaccess/ParametersNotificationList.java,M,2010-11-08,08:01:21,7,9641,Java File,java,246,185,.05,12,Medium,2,11,2,306,11,306,0,Peripheral,7,0,7,1,2610,0,.36363637,1,.46153846,238,0,.22222222,1,.22727273,1,1,74055,PlantVisorPRO/src/com/carel/supervisor/plugin/parameters/dataaccess/ParametersNotificationList.java
paride.ciatto,/trunk/src/developments/c_source/pvproshell/PVShell/PVShell.cpp,M,2010-11-08,16:18:44,7,118313,C Code File,cpp,360,218,.19,7,Low,1,2,1,2,1,1,0,Secondary network,0,0,27,2,369,0,1,1,1,0,0,1,1,1,1,1,74056,c_source/pvproshell/PVShell/PVShell.cpp
paride.ciatto,/trunk/src/developments/c_source/pvproshell/PVShell/PVShell.h,M,2010-11-08,16:18:44,7,69855,C Header File,h,43,9,1.89,0,Low,3,1,4,1,2,3,0,Secondary network,0,0,27,2,369,0,1,1,1,0,0,1,1,1,1,1,74057,c_source/pvproshell/PVShell/PVShell.h
paride.ciatto,/trunk/src/developments/c_source/pvproshell/PVShell/resource.h,M,2010-11-08,16:18:44,7,,C Header File,h,36,0,0,0,Low,1,1,1,1,0,0,0,Unconnected,,,,376,1,0,,,,,,,,,1,1,74069,c_source/pvproshell/PVShell/resource.h
paride.ciatto,/trunk/src/developments/c_source/pvproshell/PVShell2/PVShell2Dlg.cpp,M,2010-11-08,16:18:44,7,130171,C Code File,cpp,2257,1659,.11,30,High,2,10,2,10,10,10,0,Secondary network,0,0,27,2,369,0,1,1,1,0,0,1,1,1,1,1,74071,c_source/pvproshell/PVShell2/PVShell2Dlg.cpp
paride.ciatto,/trunk/src/developments/c_source/pvproshell/PVShell2/PVShell2Dlg.h,M,2010-11-08,16:18:44,7,74175,C Header File,h,174,122,.14,1,Low,3,2,3,2,3,3,0,Secondary network,0,0,27,2,369,0,1,1,1,0,0,1,1,1,1,1,74072,c_source/pvproshell/PVShell2/PVShell2Dlg.h
luca.biolo,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/ide/dc/DbModel/Model.java,M,2010-11-10,13:45:51,7,141825,Java File,java,1735,1417,.09,34,High,2,26,7,114,26,119,0,Peripheral,4,0,10,1,2610,0,.84615386,1,.85714287,70,5,.3859649,.2857143,.38016528,1,1,80955,PlantVisorPRO/src/com/carel/supervisor/ide/dc/DbModel/Model.java
luca.biolo,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/ide/dc/xmlDAO/PVVarsTag.java,M,2010-11-10,13:45:51,7,134260,Java File,java,192,140,.28,12,Medium,4,6,22,33,8,53,13,Peripheral,0,0,10,1,2610,7,1,1,1,0,5,1,.77272725,.90909094,.51851851,.5471698,80956,PlantVisorPRO/src/com/carel/supervisor/ide/dc/xmlDAO/PVVarsTag.java
nicola.compagno,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/ide/dc/DbModel/Instance.java,M,2010-11-12,15:52:17,7,142914,Java File,java,1057,791,.16,19,Medium,2,23,7,431,23,436,0,Peripheral,16,0,10,1,2610,0,.30434781,1,.36000001,390,5,.095127612,.2857143,.098173514,1,1,80959,PlantVisorPRO/src/com/carel/supervisor/ide/dc/DbModel/Instance.java
nicola.compagno,/branches/pvpro1.x/src/developments/PlantVisorPRO/src/com/carel/supervisor/ide/dc/DbModel/Instance.java,M,2010-11-15,08:14:01,7,142914,Java File,java,1057,791,.16,19,Medium,2,23,7,431,23,436,0,Peripheral,16,0,10,1,2610,0,.30434781,1,.36000001,390,5,.095127612,.2857143,.098173514,1,1,82026,PlantVisorPRO/src/com/carel/supervisor/ide/dc/DbModel/Instance.java
paride.ciatto,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/maps/MapData.java,M,2010-11-17,11:55:25,7,22583,Java File,java,390,309,.18,44,High,1,19,1,283,18,282,0,Peripheral,14,0,9,1,2610,0,.2631579,1,.30000001,188,0,.33568904,1,.33802816,1,1,82195,PlantVisorPRO/src/com/carel/supervisor/presentation/maps/MapData.java
mirko.travaglin,/trunk/src/developments/applications/utilities/src/com/carel/supervisor/utilities/DevicesManager.java,M,2010-11-18,14:19:36,7,63595,Java File,java,1202,728,.38,18,Medium,2,3,3,5,3,6,0,Secondary network,0,0,36,10,8,0,1,1,1,0,0,1,1,1,1,1,82766,applications/utilities/src/com/carel/supervisor/utilities/DevicesManager.java
