und_from_file_id,und_to_file_id,weight
1,31978,2
1,48000,6
1,48011,2
1,56114,4
1,60291,2
1,61342,2
1,68707,2
1,85834,2
1,88951,1
1,102219,3
42,105021,17
83,14556,7
83,24593,1
83,26744,5
83,28638,7
83,31956,4
83,48553,3
83,51139,2
83,96087,2
83,100306,2
83,101639,2
145,77047,4
208,56114,2
208,60291,2
208,88951,2
218,27786,3
229,24593,1
229,61342,3
229,63383,2
229,96087,2
245,24593,1
245,27467,7
245,34441,4
245,40857,4
245,52582,11
245,96087,3
245,97498,3
293,5816,5
293,11676,5
293,24593,1
293,42303,2
293,48027,3
293,53263,114
293,96087,2
293,101468,22
293,111435,5
422,28638,2
422,61385,6
422,75876,9
443,6179,4
443,9999,3
443,44280,7
443,47705,5
443,57575,7
443,72776,18
443,101468,4
443,108765,5
552,35181,8
552,62644,4
624,23646,12
624,42297,10
624,53998,2
624,89827,3
624,98381,51
624,107920,2
688,56114,8
688,81994,3
688,91425,2
688,111501,5
746,28638,1
746,46162,3
764,15179,4
764,54323,2
764,60137,4
764,61369,2
764,77082,2
764,105165,3
764,114431,3
764,114444,3
764,115375,16
823,44280,6
823,63650,4
823,104319,2
906,20627,4
906,23646,2
906,79534,7
906,96456,2
928,932,1
928,24373,2
928,54999,8
931,7236,1
931,12054,4
931,26797,4
931,80376,1
932,103570,1
961,27467,7
961,48553,3
961,51634,4
989,35508,3
1113,93540,2
1113,114473,2
1121,5797,3
1121,96840,2
1134,50423,9
1134,66271,7
1134,98342,2
1175,12066,6
1175,13690,5
1175,13807,3
1175,14405,21
1175,19699,8
1175,22087,3
1175,24593,1
1175,26076,3
1175,28638,5
1175,33227,9
1175,39003,2
1175,42879,3
1175,47817,13
1175,48289,3
1175,50342,26
1175,57787,3
1175,63383,5
1175,68661,4
1175,72151,5
1175,77180,6
1175,79383,4
1175,86742,3
1175,93543,10
1175,94731,2
1175,96087,9
1175,96679,6
1175,99234,43
1175,107816,3
1175,108965,14
1175,112660,3
1383,6990,2
1383,7107,7
1383,15074,2
1383,15165,5
1383,24593,1
1383,26431,3
1383,28638,2
1383,35798,10
1383,43162,9
1383,49333,7
1383,56650,3
1383,63197,5
1383,90295,8
1383,91329,8
1383,96087,3
1383,107708,2
1383,113106,5
1527,26604,6
1569,2897,9
1569,6179,13
1569,9999,3
1569,24593,1
1569,27467,61
1569,30192,13
1569,32851,11
1569,34441,39
1569,40857,14
1569,44280,5
1569,48553,2
1569,56260,25
1569,63383,6
1569,72776,42
1569,86989,11
1569,96087,2
1569,97498,5
1569,100306,23
1569,108765,15
1569,111435,2
1830,5816,5
1830,40052,4
1830,48027,3
1830,63383,2
1830,64458,5
1830,85891,6
1830,97384,3
1830,101468,4
1878,27467,33
1878,34441,8
1878,40857,3
1878,42879,4
1878,44826,2
1878,56114,108
1878,62618,6
1878,63383,2
1878,72427,13
1878,86989,7
1878,87685,5
1878,87937,2
1878,100306,4
2014,35181,2
2014,40857,3
2014,97498,2
2023,5816,5
2023,24151,4
2023,24321,14
2023,24593,1
2023,27467,3
