und_from_file_id,und_to_file_id,weight
1,8780,3
1,61069,3
19,64697,6
42,2826,5
42,56611,4
42,80181,5
42,83648,2
75,8780,4
75,61069,4
83,19361,1
83,19959,9
83,76951,3
83,84545,4
83,98002,5
83,104314,3
83,105562,5
83,115309,5
175,3894,4
175,14843,1
175,17534,13
257,3894,3
257,14843,2
257,44550,4
257,58851,4
257,72328,3
257,76121,6
257,87494,4
257,95348,3
295,23040,11
295,23405,8
347,19361,1
347,35546,13
347,48233,1
347,52159,27
347,58096,57
347,64697,4
347,98561,1
347,104314,2
347,105562,34
478,3894,3
478,18116,14
478,42378,8
478,44550,4
478,76556,6
478,80265,3
478,87494,2
478,97318,3
527,5335,4
527,14915,5
527,18025,14
527,19361,1
527,21098,3
527,23065,3
527,26087,2
527,33989,3
527,51373,4
527,55266,2
527,60809,6
527,64370,2
527,67748,2
527,98613,3
527,103041,13
527,111293,5
527,112463,3
630,19361,1
630,104314,2
716,17631,2
716,40088,2
726,3128,2
726,16420,3
756,13600,3
756,40179,11
756,76593,6
780,14753,2
827,16570,2
827,26051,9
827,36100,6
827,38554,2
827,43197,5
827,58496,11
827,73188,4
827,75426,3
827,97971,3
827,107883,2
827,115463,3
914,81707,2
927,68018,3
970,32150,15
1001,42026,3
1001,95947,7
1033,52159,4
1033,58096,5
1033,64697,2
1033,94432,4
1051,35546,2
1051,57679,4
1051,64697,40
1238,52159,4
1238,58096,3
1238,64697,4
1253,102421,2
1264,13600,5
1264,38094,9
1264,40179,18
1264,65416,2
1286,1288,15
1286,1289,2
1286,38985,2
1286,67305,10
1420,12664,7
1420,13600,26
1420,22985,5
1420,35546,3
1420,48014,17
1420,52159,3
1420,58096,3
1420,61131,13
1420,64697,2
1420,76837,5
1420,76951,5
1420,80181,5
1420,102659,5
1420,103804,7
1420,105562,30
1420,114660,12
1542,27961,26
1542,88740,8
1583,8780,3
1583,61069,3
1590,19361,1
1590,52159,4
1590,58096,19
1590,60482,5
1590,64697,2
1590,78821,13
1590,83615,5
1590,104314,6
1590,109937,3
1662,19361,1
1662,23065,7
1662,104314,4
1677,37900,7
1677,46584,4
1677,59109,2
1677,92378,2
1701,4766,5
1701,33092,2
1701,35546,2
1701,80994,4
1701,100397,24
1701,103041,10
1749,16307,4
1767,82392,19
1951,87227,5
1976,23065,2
1976,34513,2
1976,36712,2
1976,47287,3
1976,47778,5
1976,52329,10
1976,60809,1
1976,82993,1
1976,103041,2
1976,112356,2
2012,3894,2
2012,12611,7
2012,14843,4
