und_from_file_id,und_to_file_id,weight
14,13567,5
14,41952,9
14,42646,5
14,58405,5
14,67442,1
14,127162,33
14,129800,4
76,51282,11
76,60597,8
131,56729,7
131,63889,2
131,79094,4
131,89990,11
131,134937,3
165,22068,2
165,42388,4
165,55980,2
165,63508,7
165,84113,2
165,89202,17
165,106118,2
282,13567,16
364,13567,5
364,41952,7
364,42646,5
364,58405,5
364,69994,8
383,51908,3
383,68984,2
383,123490,8
431,49391,7
431,86432,3
431,91117,4
431,112305,5
431,113698,16
431,128045,3
431,132058,7
431,138959,4
508,42388,7
508,55980,2
508,72848,4
508,86066,10
508,88481,4
508,106118,2
508,110156,5
571,36825,3
571,43647,5
571,90917,6
571,122474,4
598,31165,6
598,49391,31
598,67442,1
598,69979,5
598,85717,3
598,86066,3
598,86432,7
598,90917,20
598,92503,7
598,103910,5
598,139154,5
598,143205,24
742,53271,2
742,58906,1
742,80496,1
784,14648,9
784,67442,9
784,85717,26
829,3049,10
829,3206,2
829,35031,2
829,77416,59
829,124641,3
829,134615,12
901,903,4
901,3508,2
908,903,28
908,904,10
908,5713,15
908,5774,24
908,36756,4
908,42501,2
928,68984,2
928,103910,7
948,36773,13
974,976,16
974,8952,1
974,20955,6
974,24219,4
974,35298,1
974,92460,3
1027,3206,3
1036,903,12
1036,904,6
1036,908,25
1036,1038,245
1036,1039,6
1036,34859,12
1036,138407,21
1038,903,7
1038,908,5
1038,1036,10
1038,5713,2
1038,34859,14
1038,42501,1
1038,138407,4
1039,903,10
1039,904,4
1153,11879,2
1153,24713,4
1153,26011,2
1153,36804,3
1153,39207,2
1153,48869,2
1153,94991,5
1213,73609,2
1219,55121,1
1219,67442,1
1219,85717,3
1219,89144,4
1219,120495,4
1219,138959,7
1293,8601,19
1293,49391,13
1293,67442,1
1293,68984,6
1293,78299,8
1293,80872,9
1293,80902,27
1293,83370,11
1293,85717,4
1293,86066,15
1293,86432,3
1293,88481,5
1293,91117,5
1293,98870,2
1293,103910,69
1293,104233,25
1293,113698,42
1293,121881,1
1293,129800,2
1293,132058,15
1293,139154,47
1602,16987,3
1602,60627,5
1602,89450,4
1602,93539,5
1602,94614,2
1602,120234,2
1630,35391,2
1630,70364,2
1630,106054,2
1630,137629,1
1661,86066,5
1661,103910,9
1661,139154,6
1688,1,2
1688,7921,2
1688,24360,2
1688,28568,3
1688,130823,2
1702,25379,5
1702,67442,1
1702,71544,4
1702,85717,7
1702,88959,3
1702,120111,9
1702,130823,3
1735,31535,6
1745,51223,1
1745,53271,3
1745,58906,1
1754,133647,504
1754,134314,288
1769,93812,2
1780,18029,3
1780,80902,4
1780,86066,12
1780,88481,5
1780,103910,7
1780,127162,5
1780,130245,5
1780,139154,10
1827,86424,16
1827,127904,9
1827,138959,4
1888,9132,5
1888,49391,9
1888,57684,5
1888,59720,10
1888,65899,4
1888,67442,1
1888,79986,7
1888,85717,3
1888,90917,6
1888,91117,7
1888,92503,7
1888,110466,6
1888,113698,33
1888,132058,11
1888,139230,2
1888,143205,7
2022,13567,5
2022,41952,8
2022,42646,5
2022,58405,5
2022,67442,1
2022,88037,9
2022,117426,7
2022,129800,3
2051,11850,3
2051,17672,9
2051,23778,4
2051,56098,7
2051,67442,1
2051,68984,25
2051,76311,16
2051,80872,7
2051,80902,2
2051,83370,7
2051,85717,11
2051,86066,5
2051,97485,3
2051,97903,5
2051,103910,41
2051,104063,3
2051,104233,14
2051,112008,3
2051,113065,3
2051,127309,12
2051,129800,57
2051,131864,8
2051,137775,5
2051,138186,43
2051,139154,14
2309,49391,4
2309,63508,4
2309,67354,5
2309,80353,6
2309,86432,7
2309,90917,5
2309,99094,8
2309,110939,4
2309,130245,3
2309,138959,5
2309,143205,11
2356,63508,2
2664,903,5
2664,908,1
2664,1038,2
2664,2670,2
2664,2671,2
2664,2672,3
2664,2673,1
2664,27073,1
2670,903,3
2670,908,1
2670,5713,1
2670,10056,3
2670,29254,4
2670,32065,1
2670,34859,18
2670,36756,14
2670,138407,1
2670,142294,1
2671,901,1
2671,903,11
2671,36756,2
2671,68234,2
2672,901,1
2672,903,12
2672,908,3
2672,1038,2
2672,2670,1
2672,27073,1
2672,36756,1
2672,42501,2
2672,112355,1
2673,901,6
2673,903,3
2673,3508,3
2673,136595,1
2755,25118,5
2755,74726,3
2755,86066,5
2755,87088,21
2755,88602,4
2755,103910,5
2755,129800,5
2755,137783,12
2755,138959,21
2755,139154,8
2815,67442,1
2815,80902,2
2815,85717,2
2815,86066,8
2815,88481,3
2815,103910,5
2815,137887,4
2815,139154,6
2845,44351,2
2845,49391,16
2845,58701,2
2845,63508,3
2845,67442,1
2845,68795,8
2845,79986,3
2845,82074,6
2845,85717,4
2845,86066,11
2845,86432,5
2845,94110,2
2845,103910,7
2845,120731,22
2845,130245,7
2845,138959,7
